"ID","EventType","Framespan"
"171","PersonRuns","100957:101014"
"172","PeopleSplitUp","102212:102319"
"173","ObjectPut","102484:102496"
"174","ObjectPut","103395:103406"
"175","Pointing","103851:103859"
"176","CellToEar","103971:104009"
"177","ObjectPut","104654:104670"
"178","PeopleMeet","105022:105126"
"179","Pointing","105276:105320"
"180","ObjectPut","105439:105448"
"181","ObjectPut","105477:105489"
"182","PeopleSplitUp","105526:106226"
"183","Pointing","105701:105709"
"184","ObjectPut","105747:105797"
"185","Pointing","105760:105789"
"186","PeopleMeet","106268:106369"
"187","PeopleMeet","106500:106535"
"188","CellToEar","106554:106569"
"189","ObjectPut","106569:106589"
"190","PeopleSplitUp","107754:111476"
"191","ObjectPut","108663:108946"
"192","PersonRuns","109261:109486"
"193","Pointing","109351:109359"
"194","PeopleMeet","109579:109593"
"195","PeopleMeet","110073:110220"
"196","ObjectPut","110275:110357"
"197","CellToEar","110355:110430"
"198","Pointing","110375:110379"
"199","PeopleSplitUp","110422:111474"
"200","Pointing","110481:110533"
"201","CellToEar","110716:110729"
"202","PersonRuns","111274:111306"
"203","Pointing","111650:111677"
"204","Pointing","112686:112715"
"205","Pointing","113395:113399"
"206","PeopleSplitUp","113436:113510"
"207","PeopleMeet","113544:113570"
"208","ObjectPut","113570:113623"
"209","Embrace","113647:113692"
"210","PersonRuns","115028:115114"
"211","PersonRuns","116189:116203"
"212","ObjectPut","117486:117514"
"213","ObjectPut","117729:117748"
"214","ObjectPut","117947:117963"
"215","ObjectPut","118238:118243"
"216","ObjectPut","118306:118313"
"217","ObjectPut","118400:118416"
"218","ObjectPut","118480:118495"
"219","ObjectPut","118594:118605"
"220","ObjectPut","118683:118702"
"221","ObjectPut","118760:118777"
"222","ObjectPut","118813:118824"
"223","ObjectPut","118889:118937"
"224","ObjectPut","119093:119132"
"225","ObjectPut","119465:119486"
"226","ObjectPut","119979:119991"
"227","PeopleMeet","121288:121678"
"228","PeopleMeet","121808:121898"
"229","Embrace","121852:121908"
"230","Embrace","121925:121971"
"231","Pointing","123312:123319"
"232","Pointing","123368:123464"
"233","Pointing","123780:123789"
"234","ObjectPut","124682:124698"
"235","ObjectPut","125000:125006"
"236","PersonRuns","126046:126109"
"237","Pointing","128366:128415"
"238","PeopleMeet","128378:128413"
"239","Embrace","128450:128510"
"240","Pointing","129324:129339"
"241","Pointing","129422:129455"
"242","PeopleMeet","130639:130754"
"243","ObjectPut","131371:131376"
"244","PeopleMeet","131375:131501"
"245","Pointing","131517:131583"
"246","Pointing","131609:131624"
"247","Pointing","131650:131663"
"248","Pointing","131684:131689"
"249","PeopleSplitUp","131766:132225"
"250","PeopleSplitUp","132116:132315"
"251","Pointing","132880:132898"
"252","PeopleMeet","132935:133008"
"253","CellToEar","133305:133326"
"254","PeopleMeet","134423:134760"
"255","Pointing","134428:134506"
"256","Pointing","134653:134684"
"257","PeopleSplitUp","136153:136727"
"258","PersonRuns","137612:137729"
"259","CellToEar","139897:139912"
"260","PeopleMeet","140187:140317"
"261","CellToEar","140499:140519"
"262","PeopleMeet","140532:140551"
"263","Pointing","141050:141085"
"264","ObjectPut","141276:141316"
"265","Pointing","141342:141358"
"266","PersonRuns","141358:141486"
"267","PeopleSplitUp","141542:141619"
"268","Pointing","141983:141989"
"269","Pointing","142015:142027"
"270","Pointing","142103:142137"
"271","PeopleMeet","143967:144090"
"272","ObjectPut","144010:144083"
"273","PeopleSplitUp","144091:144266"
"274","PersonRuns","144274:144381"
"275","PeopleMeet","144410:144627"
"276","ObjectPut","144890:144904"
"277","ObjectPut","144891:144904"
"278","ObjectPut","144923:144993"
"279","PeopleMeet","144992:145232"
"280","PeopleSplitUp","144995:145743"
"281","PeopleMeet","146952:147462"
"282","PeopleMeet","147016:147171"
"283","Embrace","147140:147204"
"284","ObjectPut","147316:147330"
"285","ObjectPut","147364:147376"
"286","PeopleSplitUp","148148:148701"
"287","ObjectPut","148278:148304"
"288","PeopleMeet","149609:150259"
"289","ObjectPut","150184:150220"
"290","CellToEar","150348:150361"
"291","CellToEar","150909:150941"
"292","PersonRuns","151542:151686"
"293","Pointing","154533:154536"
"294","PeopleMeet","154534:154716"
"295","Embrace","154709:154927"
"296","PeopleMeet","155216:155383"
"297","ObjectPut","155912:155918"
"298","ObjectPut","156363:156638"
"299","ObjectPut","156416:156441"
"300","ObjectPut","156482:156486"
"301","PeopleMeet","156682:157157"
"302","ObjectPut","156784:156833"
"303","ObjectPut","156927:156959"
"304","ObjectPut","156961:156968"
"305","ObjectPut","157687:157712"
"306","ObjectPut","157787:157852"
"307","ObjectPut","157934:157983"
"308","ObjectPut","157946:157972"
"309","PeopleMeet","158067:158263"
"310","ObjectPut","158121:158126"
"311","ObjectPut","158231:158273"
"312","Pointing","158275:158287"
"313","ObjectPut","158609:158620"
"314","ObjectPut","158737:158742"
"315","ObjectPut","158922:158927"
"316","Pointing","159265:159337"
"317","ObjectPut","159654:159663"
"318","ObjectPut","159846:159852"
"319","PeopleSplitUp","159848:159947"
"320","Pointing","160418:160457"
"321","Pointing","160572:160596"
"322","CellToEar","161769:161782"
"323","PeopleSplitUp","162228:162311"
"324","CellToEar","162622:162629"
"325","PersonRuns","163775:163821"
"326","Pointing","164336:164347"
"327","ObjectPut","165506:165536"
"328","Pointing","167802:167806"
"329","ObjectPut","168063:168090"
"330","PersonRuns","169537:169613"
"331","Pointing","170504:170513"
"332","Pointing","170851:170857"
"333","ObjectPut","171884:171921"
"334","Pointing","172063:172112"
"335","Pointing","172210:172221"
"336","Pointing","172430:172434"
"337","ObjectPut","173930:174225"
"338","ObjectPut","174062:174117"
"339","ObjectPut","174547:174553"
"340","ObjectPut","174576:174627"
"341","ObjectPut","174977:174996"
"342","PeopleSplitUp","175401:175944"
"343","ObjectPut","175444:175462"
"344","Pointing","175499:175501"
"345","ObjectPut","175886:175905"
"346","ObjectPut","177402:177428"
"347","ObjectPut","177861:177900"
"348","PeopleMeet","177978:177989"
"349","PeopleSplitUp","178010:178057"
"350","Embrace","178285:178345"
"351","Pointing","178467:178614"
"352","ObjectPut","179233:179254"
"353","Pointing","179300:179319"
"354","ObjectPut","179627:179653"
"355","ObjectPut","179813:179839"
"356","PeopleSplitUp","179870:180149"
"357","PeopleSplitUp","180407:180468"
"358","ObjectPut","181078:181088"
"359","Pointing","182123:182189"
"360","PeopleMeet","182139:182248"
"361","Pointing","182172:182172"
"362","Pointing","182232:182246"
"363","Pointing","182282:182295"
"364","ObjectPut","182292:182307"
"365","PeopleMeet","182441:182491"
"366","ObjectPut","182679:182755"
"367","ObjectPut","182774:182805"
"368","PeopleSplitUp","182825:182920"
"369","PeopleSplitUp","182916:182935"
"370","ObjectPut","183632:183668"
